  332	 1529	 3710	 6781
 5293	 5792	 9408	 2954
 9841	 8519	 3030	 2395
  673	 6018	 1014	 6308
 9718	 2905	  540	 1354
 3503	 7546	 2152	  894
 3584	 1099	 6122	 7726
 5690	 2987	 1668	 6022
 4516	 5379	 2803	 9809
 1170	 2210	 2763	 1011
  728	 5793	 3407	 1402
 1810	 4421	 7711	 1527
 7327	 8251	 2882	  829
 5797	 5034	 1723	 9381
 6134	 7846	 7107	 1823
  832	 8775	 5348	 4154
  648	 5157	 5325	 2859
 7920	 6337	 3587	 3712
 9744	 4990	 5523	 4165
 2700	 7051	 1491	  951
 9933	 2320	 6748	 4967
 4044	 6129	 1100	 1889
 3235	 2923	 2722	 2010
  769	 8071	 6165	 1417
 3227	 1489	 4276	 1147
 7827	 7864	 4859	 7570
 2853	  382	 1734	 5554
 7433	 3226	 6505	 7365
 5546	 3253	 2331	 9591
 9382	 3431	 1479	 2617
 6355	 4202	 4628	 7124
 2272	  792	 8542	 5499
 2282	 2817	 6646	  108
  680	 1505	 7678	 3534
 1888	 9413	 9089	 9321
 2638	 5593	 6685	 8185
 8847	 9017	 7775	 8229
 2448	 9255	  845	 8804
 3456	 5473	 5928	 5729
 6265	 4469	 1227	 8547
 7287	 7874	 8656	 7967
 9380	 6333	 1501	 1267
 5746	  589	  587	 8384
 6183	 7273	 6569	 5029
 6290	 4344	 3257	 8739
 3598	 4103	 7542	 7055
 9576	 3469	 2783	 5841
 7939	 4011	 4388	 5225
 1885	 3043	 3192	 1264
 9377	 4693	 2532	 5122
 5283	 3120	 3506	 1466
  393	   74	 6496	 6683
 4418	 9753	 5421	 8017
 3856	 2963	 5071	 6432
 7855	 9273	 4371	 1865
 3660	 9596	 3751	 6704
 2787	 5015	 6080	 7481
 7548	 1201	 2764	  667
 4707	 4230	 1060	 4782
  725	 7743	 9200	  478
 3164	 7217	 4334	 6127
 2287	 7766	 2559	  142
 7039	 6930	 2008	  699
 6526	 5759	 7403	 9313
  774	 3482	 6794	 8322
 4684	 9558	 8989	 9391
 3788	   49	 4172	 4514
 7793	 3372	 4992	  956
  588	 9327	 7084	 2876
 7093	 9644	 3018	 4131
 6573	 5027	 4830	 3098
  785	 2232	 2411	 1559
 5715	 9206	 9881	  398
 8763	 8870	 9790	 2551
 8919	 3962	 7065	 6711
 7334	 2057	 7668	 7923
 1383	 4752	  799	 8476
 4395	 3817	 2607	  967
 8845	 7437	 4066	 9630
 9670	 6478	 1188	 5384
 5683	 1069	 5783	 4446
 9940	 5573	 6997	 8859
 9535	 4062	 5570	 6869
 6119	 3237	 4791	 7502
 7990	 5591	 5978	 2384
 9409	 8585	 3352	 8253
 7418	 7882	 5691	 3895
 9071	 1075	 9579	  140
 6859	 4024	   79	 2431
 1020	 8939	 1965	 5082
 4508	 8834	 1200	 7746
 3625	 8703	 5735	 9216
 4681	 8119	 8625	 3265
 1470	 6877	 9287	 8889
 4758	 4978	 2784	 3829
 6053	 2362	 3969	 2911
 6386	 4049	 5343	 7407
 7308	 2489	 7495	 6142
 3690	 5240	 9768	 2392
  975	 8984	 7073	 9094
 7608	  338	  564	 4484
 9626	 9454	 9243	 4603
 2237	 3071	  655	 4600
 7040	 3567	  985	 1088
 8910	 8393	 4075	 6218
  881	 1570	 2360	 4572
 6811	 2127	 6965	 7786
 1111	 4038	 6880	 8719
 4376	 7444	 3203	 4001
 6898	 2445	 8604	 9135
 5516	 9260	 3734	 2556
 2827	 4720	 3644	 1737
 3113	 7720	 7956	 3994
 9291	  315	 8567	 6101
 2443	 5531	 3886	 3554
 9569	  766	 2273	 3945
 8211	 5476	 7946	 5108
 7921	 6550	 4242	 3436
 5810	 7977	 5993	 8638
 2696	 9638	  375	 5809
 7357	 8331	 9804	 6648
 8647	 8370	 2748	 1090
 3901	 6635	 4644	 7402
 6917	 7414	 5612	 5360
  719	  312	 1910	 4961

